,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,B,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL
204667_at,NA,NA,3.03834375487291,8.65115658718476,14.6737719987455,3.19287449730514e-11,3.16126503978182e-07,15.0744013154355,3.03834375487291,9.68970510887587,6.65136135400296,9.82229148158065,9.51446102472293,9.91901016855623,9.60070006670862,9.59206280281091,6.48379228710839,6.55134491121946,7.00116149483404,6.68506224051801,6.53544583633489
215729_s_at,NA,NA,-3.45228996479382,6.13759460387285,-13.0262683095575,2.14447346977855e-10,1.06162159121387e-06,13.5055919022566,-3.45228996479382,5.08426772359897,8.53655768839279,4.73666877607223,4.76100126187046,6.25488611537007,4.82041612797051,4.84836633671158,8.26586963394537,8.96267919728921,8.3042470730772,8.76866776720214,8.38132477045005
220192_x_at,NA,NA,3.01631488848622,9.5218828479889,11.0330237670989,2.85340623592195e-09,8.00797086481025e-06,11.2669146412081,3.01631488848622,10.7370212494239,7.72070636093768,10.4842954543592,10.9148465540222,10.5108195983022,11.5099584252558,10.26518621518,7.82396082534421,7.80975247415513,7.52220272851932,8.42722116318851,7.02039461348126
214451_at,NA,NA,5.66505881639779,7.43282304943528,10.9428018084239,3.23521699416635e-09,8.00797086481025e-06,11.1555380876539,5.66505881639779,10.5462054445821,4.88114662818435,10.1769196442276,10.0603908239576,11.2011400821682,10.8888253205744,10.4037513519829,4.81833505308239,4.78415368118956,4.9756069974347,4.91201007790553,4.91562733130958
209787_s_at,NA,NA,-2.02311336905149,9.87129818602029,-9.90719983530794,1.45011244729811e-08,2.41159095886383e-05,9.80781139827799,-2.02311336905149,8.68749174672697,10.7106051157785,8.66318108145193,8.52921536033064,8.85169918733074,8.81036065170359,8.58300245281795,10.3794541939434,11.0448001830463,10.5693230638613,10.8660619212934,10.693386216748
211621_at,NA,NA,2.30874564879414,7.27166495351072,9.78944621843247,1.73214710541332e-08,2.41159095886383e-05,9.64615559963844,2.30874564879414,8.45733147776571,6.14858582897157,8.5820323857864,8.00683879459617,8.46107199942806,8.22010819988834,9.01660600912959,6.33150003808897,6.35316564345517,6.16280243896545,5.93214490460532,5.96331611974293
217528_at,NA,NA,5.62208628852142,6.76310069182024,9.76322510006951,1.80244369901535e-08,2.41159095886383e-05,9.60991563364645,5.62208628852142,10.1135474223939,4.49146113387247,10.5339461053776,10.0360217827228,11.3255778529753,8.05348155382427,10.6187098170695,4.58056632725799,4.53762673447864,4.51876599177609,4.35719944618981,4.4631471696598
206165_s_at,NA,NA,5.50080305757547,8.15249712846581,9.6702814647388,2.07667180472349e-08,2.41159095886383e-05,9.48074147204609,5.50080305757546,11.3689910236578,5.86818796608229,11.907238970755,10.9689668664997,12.4424070271013,9.60183876416373,11.924503489769,5.99085423184744,6.07272940424698,5.64423032679146,5.93104786059477,5.7020780069308
217284_x_at,NA,NA,4.31311635906941,9.13330724566698,9.63493668713471,2.19213398947323e-08,2.41159095886383e-05,9.43132368529048,4.31311635906941,11.6817292291844,7.368612870115,11.7265729986124,9.74072008740223,11.4360349744468,12.8188123758691,12.6865057095916,7.27432053779449,7.29838972414316,7.49051804259664,7.56236925346615,7.21746679257457
205044_at,NA,NA,-5.62620635762163,8.42325372276683,-9.30625298673611,3.65032549255134e-08,3.58841306098607e-05,8.96387143217944,-5.62620635762163,6.25470239539245,11.8809087530141,6.09896706382366,6.25994116154218,6.04467221958715,5.95066958978789,6.91926194222135,10.1377421874583,12.7800979871862,12.3469681158715,12.1559089965282,11.9838264780262
217276_x_at,NA,NA,4.10566649255996,8.85410249573978,9.25022996953675,3.9867229240326e-08,3.58841306098607e-05,8.88275511720775,4.10566649255996,11.3312761394227,7.22560964686278,11.3022782520634,9.4673703451922,11.0152445733994,12.5666080402946,12.304879486164,7.26059351858731,7.36046500706025,7.27750527858004,7.30505139254829,6.92443303753798
211110_s_at,NA,NA,2.60376920121367,7.70802817236694,9.04825301399454,5.49495375716001e-08,4.19109992330656e-05,8.58676764229469,2.60376920121367,9.11593156325099,6.51216236203733,9.07062469866796,8.71437648439849,8.73313074486531,8.97146895604864,10.0900569322745,6.4054307255732,6.53333558230855,6.59967470564106,6.71452187413881,6.30784892252499
