;symbol;ID;GrupID;PF14;PF19;PF23;PF39;PF46;PF24;PF25;PF28;PF34;PF42;PF15;PF32;PF33;PF43;PF47
211756_at;PTHLH;211756_at;1;5,10026833166816;5,7099775824214;5,20398260734253;4,84470180258338;5,25304083670274;5,29318491683039;5,1126156989057;5,12419088513077;4,74511185265434;5,14294373116184;5,80954834205717;7,84997357520083;8,15347328319766;5,65942989916177;5,31652848686939
209988_s_at;ASCL1;209988_s_at;1;5,49314568047196;5,56655891727378;5,34365219131725;5,50867291504421;5,53147147217888;5,44511288981151;5,51017698841857;5,45152518208735;5,3311359684877;4,98695550601616;7,22040393701909;7,40215180955712;8,79582544363724;5,68070272256911;5,5108221811864
211712_s_at;ANXA9;211712_s_at;1;6,2983864590303;6,27643715478516;5,88565561313674;6,09112214457539;6,46280414279397;5,76592154637889;6,32768622300443;6,06934177494514;5,91994750711591;5,88869285160732;8,83210205254674;7,27172677239973;9,81420191470639;7,09028484386267;7,40224459844941
210085_s_at;ANXA9;210085_s_at;1;7,1144346842156;7,11704188862139;6,8819016250716;6,98409852241269;7,30659665173249;6,93037511505539;7,04670018204683;6,85251311418127;6,97509662824298;6,87575242147473;8,28803805789864;7,34538380532879;9,39966863456549;7,46604343217709;7,8269110114551
212151_at;PBX1;212151_at;1;11,0138033243406;10,9985650755982;10,1052197827695;10,0069407484713;10,9852003671231;10,6797086477671;10,0216904026508;10,8054465792357;10,3387928752447;9,60722825215153;11,3897726789746;11,1353065196357;12,3816924617284;10,9112520840734;11,4716439477041
212148_at;PBX1;212148_at;1;9,71509936520848;9,39154154480196;8,8743073495151;8,22410056766091;9,07940801376444;9,23716022588065;8,33337962772312;9,41759593034128;9,00254455063021;8,22020325224314;10,2889921951238;9,59056298318578;10,8540088333369;9,25930554903297;9,80792467889785
205253_at;PBX1;205253_at;1;8,10013071019954;7,81614491080667;8,2751495037697;6,75906077110706;7,47154741846851;7,78614855790232;7,01750587465323;7,42061126412987;6,99390164847791;6,58837612263897;9,10222197817233;7,8729813700483;8,83355678341704;7,6216732984892;8,45184797802321
202975_s_at;RHOBTB3;202975_s_at;1;7,92307664048849;8,58474254921069;7,47601911956383;7,5327961486016;8,55141616528547;9,07573843449969;7,65382130326183;7,96583901162155;7,65139482173136;8,72973643862651;9,16970679373493;8,76017247566435;9,83814869771469;8,49265273568956;9,23928677310193
209603_at;GATA3;209603_at;1;8,32416668612496;8,54295231342527;9,00262326260903;7,38121853405509;7,72359246715643;6,15393356028213;7,71707687071136;7,47391512431327;5,82417532878808;7,38854583826573;11,1558382658202;10,4459643617859;10,6401327254355;10,5004108536059;10,4892661152783
209602_s_at;GATA3;209602_s_at;1;8,70985337792214;8,75522479864573;9,63164455893843;7,2903291734537;7,8846575247982;5,42761913654328;7,98722442195407;7,87025970213349;4,89525966202734;7,80642134595526;11,2981906324747;10,7209037763664;10,8108663441493;10,7617818776044;10,8648107973
