,SYMBOLS,AvsB,AvsL,BvsL
200071_at,SMNDC1,-1,0,0
200600_at,MSN,-1,0,0
200615_s_at,AP2B1,0,-1,0
200618_at,LASP1,1,0,0
200632_s_at,NDRG1,0,1,0
200670_at,XBP1,1,0,-1
200762_at,DPYSL2,-1,0,0
200824_at,GSTP1,0,0,1
200831_s_at,SCD,1,0,0
200832_s_at,SCD,1,0,0
200862_at,DHCR24,1,1,0
200868_s_at,RNF114,1,1,0
200961_at,SEPHS2,1,0,0
200972_at,TSPAN3,-1,-1,0
200973_s_at,TSPAN3,-1,0,0
201030_x_at,LDHB,-1,0,1
201037_at,PFKP,0,0,1
201095_at,DAP,1,1,0
201131_s_at,CDH1,1,0,-1
201161_s_at,YBX3,0,0,1
201181_at,GNAI3,-1,0,0
201196_s_at,AMD1,-1,0,1
201197_at,AMD1,-1,0,1
201218_at,CTBP2,0,-1,0
201236_s_at,BTG2,0,-1,-1
201242_s_at,ATP1B1,0,-1,0
201243_s_at,ATP1B1,0,-1,0
201251_at,PKM,0,0,1
201272_at,AKR1B1,-1,0,0
201291_s_at,TOP2A,-1,-1,0
201292_at,TOP2A,-1,-1,0
201324_at,EMP1,-1,0,0
201325_s_at,EMP1,-1,0,0
201349_at,SLC9A3R1,1,0,-1
201397_at,PHGDH,0,0,1
201467_s_at,NQO1,1,0,-1
201468_s_at,NQO1,1,0,-1
201525_at,APOD,1,0,0
201562_s_at,SORD,1,0,-1
201563_at,SORD,1,0,0
201582_at,SEC23B,1,0,0
201583_s_at,SEC23B,1,0,0
201596_x_at,KRT18,1,0,-1
201641_at,BST2,0,-1,-1
201644_at,TSTA3,1,0,0
201650_at,KRT19,1,0,-1
201690_s_at,TPD52,1,0,0
201691_s_at,TPD52,1,0,0
201701_s_at,PGRMC2,1,1,0
201719_s_at,EPB41L2,-1,0,0
201743_at,CD14,-1,0,1
201795_at,LBR,-1,0,1
201825_s_at,SCCPDH,0,-1,0
201826_s_at,SCCPDH,0,-1,0
201842_s_at,EFEMP1,-1,0,0
201843_s_at,EFEMP1,-1,0,0
201858_s_at,SRGN,-1,0,0
201860_s_at,PLAT,0,-1,-1
201876_at,PON2,1,0,0
201900_s_at,AKR1A1,1,0,0
201951_at,ALCAM,1,1,0
201952_at,ALCAM,1,1,0
201963_at,ACSL1,0,1,0
201976_s_at,MYO10,0,1,1
201983_s_at,EGFR,0,1,0
201986_at,MED13,0,-1,0
201987_at,MED13,0,-1,0
202037_s_at,SFRP1,-1,0,1
202071_at,SDC4,0,0,-1
202073_at,OPTN,-1,0,0
202074_s_at,OPTN,-1,0,0
202075_s_at,PLTP,-1,0,1
202086_at,MX1,0,-1,0
202087_s_at,CTSL,-1,0,0
202088_at,SLC39A6,0,-1,-1
202089_s_at,SLC39A6,0,-1,-1
202109_at,ARFIP2,1,0,0
202118_s_at,CPNE3,1,0,0
202133_at,WWTR1,-1,0,1
202156_s_at,CELF2,-1,0,0
202157_s_at,CELF2,-1,0,0
202158_s_at,CELF2,-1,0,0
202173_s_at,VEZF1,0,0,-1
202201_at,BLVRB,1,0,0
202207_at,ARL4C,-1,0,0
202234_s_at,SLC16A1,-1,0,1
202237_at,NNMT,-1,0,0
202238_s_at,NNMT,-1,0,0
202243_s_at,PSMB4,0,0,1
202275_at,G6PD,1,0,0
202308_at,SREBF1,1,0,0
202336_s_at,PAM,-1,0,0
202338_at,TK1,0,1,0
202342_s_at,TRIM2,0,0,1
202345_s_at,FABP5,-1,0,1
202357_s_at,CFB,0,-1,-1
202387_at,BAG1,-1,0,0
202391_at,BASP1,-1,0,0
202396_at,TCERG1,-1,0,0
202422_s_at,ACSL4,-1,0,0
202430_s_at,PLSCR1,-1,-1,0
202431_s_at,MYC,-1,0,1
202446_s_at,PLSCR1,-1,-1,0
202454_s_at,ERBB3,0,0,-1
202497_x_at,SLC2A3,-1,0,1
202499_s_at,SLC2A3,-1,0,1
202528_at,GALE,1,0,0
202557_at,HSPA13,-1,0,0
202575_at,CRABP2,0,-1,0
202579_x_at,HMGN4,-1,0,0
202580_x_at,FOXM1,-1,0,0
202589_at,TYMS,-1,0,0
202609_at,EPS8,0,0,-1
202625_at,LYN,-1,0,1
202626_s_at,LYN,-1,0,1
202641_at,ARL3,0,-1,0
202647_s_at,NRAS,-1,0,0
202660_at,ITPR2,-1,0,1
202666_s_at,ACTL6A,-1,0,0
202672_s_at,ATF3,-1,0,1
202680_at,GTF2E2,-1,0,0
202690_s_at,SNRPD1,-1,0,0
202691_at,SNRPD1,-1,0,0
202704_at,TOB1,1,0,-1
202741_at,PRKACB,1,1,0
202742_s_at,PRKACB,1,1,0
202743_at,PIK3R3,1,0,0
202770_s_at,CCNG2,0,0,-1
202780_at,OXCT1,0,1,0
202786_at,STK39,0,-1,-1
202854_at,HPRT1,-1,-1,0
202859_x_at,CXCL8,0,0,1
202862_at,FAH,1,1,0
202870_s_at,CDC20,-1,0,1
202908_at,WFS1,0,0,-1
202912_at,ADM,0,1,1
202942_at,ETFB,1,1,0
202957_at,HCLS1,-1,0,0
202975_s_at,RHOBTB3,0,-1,0
202988_s_at,RGS1,-1,0,0
203021_at,SLPI,0,1,0
203058_s_at,PAPSS2,1,1,0
203059_s_at,PAPSS2,1,1,0
203060_s_at,PAPSS2,1,1,0
203120_at,TP53BP2,-1,0,0
203126_at,IMPA2,0,0,1
203127_s_at,SPTLC2,1,0,0
203128_at,SPTLC2,1,0,0
203139_at,DAPK1,-1,0,0
203153_at,IFIT1,0,-1,0
203180_at,ALDH1A3,0,1,0
203186_s_at,S100A4,-1,0,0
203207_s_at,MTFR1,1,0,0
203211_s_at,MTMR2,-1,0,0
203215_s_at,MYO6,1,0,0
203222_s_at,TLE1,1,1,0
203263_s_at,ARHGEF9,0,0,1
203302_at,DCK,-1,0,0
203324_s_at,CAV2,-1,0,1
203343_at,UGDH,1,0,-1
203358_s_at,EZH2,-1,0,0
203414_at,MMD,0,-1,0
203431_s_at,ARHGAP32,1,0,0
203434_s_at,MME,-1,0,1
203453_at,SCNN1A,1,0,-1
203476_at,TPBG,0,-1,-1
203485_at,RTN1,0,-1,0
203548_s_at,LPL,-1,0,0
203549_s_at,LPL,-1,0,0
203554_x_at,PTTG1,-1,0,1
203561_at,FCGR2A,-1,0,0
203566_s_at,AGL,0,-1,-1
203574_at,NFIL3,0,0,1
203595_s_at,IFIT5,0,-1,0
203603_s_at,ZEB2,-1,0,0
203620_s_at,FCHSD2,0,-1,0
203625_x_at,SKP2,0,0,1
203627_at,IGF1R,0,-1,0
203632_s_at,GPRC5B,0,1,0
203636_at,MID1,-1,0,1
203637_s_at,MID1,-1,0,1
203638_s_at,FGFR2,-1,-1,0
203645_s_at,CD163,-1,0,1
203675_at,NUCB2,1,0,-1
203685_at,BCL2,-1,-1,0
203690_at,TUBGCP3,-1,0,0
203693_s_at,E2F3,-1,0,0
203706_s_at,FZD7,-1,0,0
203740_at,MPHOSPH6,1,1,0
203741_s_at,ADCY7,-1,-1,0
203749_s_at,RARA,0,0,-1
203755_at,BUB1B,-1,0,0
203780_at,MPZL2,0,0,1
203789_s_at,SEMA3C,0,0,-1
203797_at,VSNL1,-1,0,1
203798_s_at,VSNL1,-1,0,1
203814_s_at,NQO2,1,1,0
203824_at,TSPAN8,1,1,0
203837_at,MAP3K5,0,1,0
203855_at,WDR47,-1,0,0
203881_s_at,DMD,-1,0,1
203882_at,IRF9,0,-1,0
203889_at,SCG5,-1,0,0
203896_s_at,PLCB4,0,0,-1
203909_at,SLC9A6,-1,0,1
203929_s_at,MAPT,0,0,-1
203963_at,CA12,0,0,-1
203988_s_at,FUT8,0,-1,-1
204001_at,SNAPC3,-1,0,0
204014_at,DUSP4,1,0,-1
204015_s_at,DUSP4,1,0,0
204023_at,RFC4,-1,0,0
204033_at,TRIP13,0,0,1
204041_at,MAOB,0,-1,-1
204044_at,QPRT,1,0,0
204061_at,PRKX,-1,0,1
204070_at,PLAAT4,0,0,-1
204143_s_at,ENOSF1,1,0,0
204146_at,RAD51AP1,-1,0,0
204162_at,NDC80,-1,0,0
204165_at,WASF1,-1,0,0
204170_s_at,CKS2,-1,0,0
204203_at,CEBPG,-1,0,1
204238_s_at,DNPH1,-1,0,1
204241_at,ACOX3,1,0,0
204256_at,ELOVL6,-1,0,0
204259_at,MMP7,-1,0,0
204268_at,S100A2,-1,0,0
204285_s_at,PMAIP1,-1,-1,0
204286_s_at,PMAIP1,-1,-1,0
204304_s_at,PROM1,-1,0,1
204306_s_at,CD151,1,0,0
204319_s_at,RGS10,-1,0,0
204347_at,AK4,1,1,0
204348_s_at,AK4,1,0,0
204352_at,TRAF5,0,-1,0
204364_s_at,REEP1,1,0,0
204365_s_at,REEP1,1,0,0
204379_s_at,FGFR3,0,0,-1
204385_at,KYNU,1,1,0
204388_s_at,MAOA,1,1,0
204389_at,MAOA,1,0,0
204401_at,KCNN4,0,0,1
204430_s_at,SLC2A5,0,0,1
204438_at,MRC1,-1,0,0
204439_at,IFI44L,-1,-1,0
204444_at,KIF11,-1,0,0
204470_at,CXCL1,-1,0,1
204485_s_at,TOM1L1,0,0,-1
204497_at,ADCY9,0,-1,0
204508_s_at,CA12,0,0,-1
204521_at,FAM216A,-1,0,1
204540_at,EEF1A2,0,0,-1
204542_at,ST6GALNAC2,0,-1,-1
204547_at,RAB40B,-1,0,0
204554_at,PPP1R3D,1,0,0
204557_s_at,DZIP1,-1,0,1
204573_at,CROT,1,1,0
204579_at,FGFR4,1,0,0
204580_at,MMP12,0,0,1
204607_at,HMGCS2,1,0,0
204623_at,TFF3,0,-1,-1
204624_at,ATP7B,0,-1,-1
204641_at,NEK2,-1,0,0
204653_at,TFAP2A,0,0,-1
204667_at,FOXA1,1,0,-1
204669_s_at,RNF24,1,1,0
204675_at,SRD5A1,0,1,0
204686_at,IRS1,0,0,-1
204700_x_at,UTP25,-1,0,0
204709_s_at,KIF23,-1,0,0
204774_at,EVI2A,-1,0,0
204787_at,VSIG4,-1,0,1
204818_at,HSD17B2,0,1,0
204822_at,TTK,-1,0,1
204825_at,MELK,-1,0,0
204855_at,SERPINB5,-1,0,1
204863_s_at,IL6ST,0,-1,-1
204942_s_at,ALDH3B2,1,1,-1
204959_at,MNDA,-1,0,0
204972_at,OAS2,0,-1,0
204973_at,GJB1,1,1,0
204981_at,SLC22A18,1,0,0
205006_s_at,NMT2,-1,0,0
205009_at,TFF1,0,-1,-1
205027_s_at,MAP3K8,-1,0,0
205029_s_at,FABP7,0,1,0
205030_at,FABP7,0,1,1
205044_at,GABRP,-1,0,1
205047_s_at,ASNS,-1,0,1
205051_s_at,KIT,-1,0,0
205073_at,CYP2J2,1,1,0
205081_at,CRIP1,0,0,-1
205084_at,BCAP29,1,0,0
205098_at,CCR1,-1,0,0
205120_s_at,SGCB,-1,-1,0
205150_s_at,TRIL,1,0,-1
205151_s_at,TRIL,1,0,-1
205160_at,PEX11A,1,0,0
205164_at,GCAT,1,0,0
205174_s_at,QPCT,-1,0,0
205186_at,DNALI1,0,-1,-1
205190_at,PLS1,0,0,-1
205197_s_at,ATP7A,1,1,0
205221_at,HGD,1,1,0
205225_at,ESR1,0,-1,-1
205237_at,FCN1,-1,0,0
205239_at,AREG,0,0,-1
205253_at,PBX1,0,0,-1
205258_at,INHBB,0,1,0
205260_s_at,ACYP1,-1,0,0
205306_x_at,KMO,1,1,0
205307_s_at,KMO,1,1,0
205311_at,DDC,1,1,0
205350_at,CRABP1,-1,0,1
205361_s_at,PFDN4,0,-1,0
205364_at,ACOX2,1,0,0
205376_at,INPP4B,1,0,-1
205379_at,CBR3,0,1,0
205380_at,PDZK1,0,-1,-1
205401_at,AGPS,-1,-1,0
205440_s_at,NPY1R,0,-1,0
205453_at,HOXB2,1,0,0
205466_s_at,HS3ST1,0,0,1
205471_s_at,DACH1,1,0,-1
205498_at,GHR,1,1,0
205541_s_at,GSPT2,-1,0,1
205548_s_at,BTG3,-1,0,1
205552_s_at,OAS1,0,-1,0
205555_s_at,MSX2,1,1,0
205567_at,CHST1,1,1,0
205568_at,AQP9,0,0,1
205569_at,LAMP3,-1,0,0
205590_at,RASGRP1,-1,0,0
205597_at,SLC44A4,0,0,-1
205603_s_at,DIAPH2,-1,0,1
205624_at,CPA3,0,-1,-1
205681_at,BCL2A1,-1,0,1
