;Symbol;GSM26878.CEL;GSM26883.CEL;GSM26887.CEL;GSM26903.CEL;GSM26910.CEL;GSM26888.CEL;GSM26889.CEL;GSM26892.CEL;GSM26898.CEL;GSM26906.CEL;GSM26879.CEL;GSM26896.CEL;GSM26897.CEL;GSM26907.CEL;GSM26911.CEL
117_at;HSPA6;7,54499142106273;7,56979930848415;7,45743404446625;7,48778630887844;7,58252210780641;7,51748438388714;7,69575655306611;7,44783318432793;8,31550951641113;8,27165187158071;7,59592132558221;7,48273255217683;7,31084047193639;7,49035531652697;7,41990258911598
1316_at;THRA;7,28402698219948;6,72447997967953;6,48658856875376;6,44825227121255;6,44858910975457;6,71203852569495;6,41480439080263;6,55087054114652;6,48900766082394;6,5444569825634;6,45628418491941;6,60109630621298;7,04856070678968;6,73007156647761;7,42040277534054
1405_i_at;CCL5;7,00203699742105;7,30715115758126;7,25915890513683;7,3876304818097;6,41762131594585;8,64972914963212;7,25382012888185;8,64784966974669;6,00367590535464;9,2892551973648;8,96341286482509;8,61914124227167;6,37888119615456;6,33379579404715;7,39960432940307
1438_at;EPHB3;7,49441880066109;8,16637185192057;7,76615851734692;7,62649870118924;7,82319380317977;7,78001271966017;7,83880927190834;7,66804845831977;8,74845873590447;7,38634169468452;7,69337143446723;7,85108477427674;7,41153629462418;7,80703179548049;7,87332013368213
1598_g_at;GAS6;10,3428613960375;10,9355071947393;9,65943702121903;10,2577578985965;10,5647693311282;11,0621236746016;10,8941029825106;9,79194988332139;10,676476494759;10,5990612692471;10,8371144217685;10,8611161185382;10,7250024215574;10,2520501038984;10,245185775331
1729_at;TRADD;9,18232742034591;8,88842503418155;9,12876386990012;9,32932016760184;9,1338115433093;8,78205772265698;8,87423356877541;8,73803419941452;8,33694113497057;8,9628767648021;9,15468847413645;8,65702253743845;9,15273909010011;8,49561802671032;8,57274867540778
1861_at;BAD;6,65981682056394;7,15314013121308;6,10931885789136;7,1488657953603;6,59600476268574;6,57098859556092;6,33437272007301;6,55797234359564;6,68767500797301;6,47348958582837;6,89482368989683;6,13269293575847;6,73666395059404;6,67154627427498;6,5315972369933
200000_s_at;PRPF8;9,13847758135478;9,16693476685823;9,02234160058104;9,41353787622925;8,85004840130697;9,17135351868734;9,56207635705697;9,43726934479855;8,99063790773905;9,52470935453911;9,24703999781064;8,80735471907987;9,53673126725984;9,31557682097427;8,78363121339524
200001_at;CAPNS1;11,0385381238736;10,598729362702;11,0617257349086;11,0806159066182;10,105922741702;10,5897919422886;10,2568819633262;10,5113803444138;10,0712602036815;10,2891333833917;10,5483568926953;10,0059621806098;10,6444247545522;10,7273851917104;10,1158329209422
200002_at;RPL35;11,4925488956328;12,1516673252616;10,9964174960097;11,6554854367559;10,9263219402699;11,6024363001295;11,6242678690601;11,8582507148622;12,1486773896405;12,2329387224669;11,6283961050088;11,3618147393529;11,5426735801115;11,620109210912;10,7675298283982
200005_at;EIF3D;11,1552320911083;10,7004033985761;10,7365198465436;10,641377089026;10,9864150350879;11,1788630488111;11,3532850507566;11,3993490797226;11,4343386638573;10,8676476189814;10,898148413033;10,6971492999759;11,05528872768;9,91050433344348;9,71993187188887
200008_s_at;GDI2;9,74719835065467;9,60552324468233;10,2354710649569;9,60197330181732;9,39582057004204;9,96500604416162;10,0674749984211;10,2414794739102;10,0493503846853;10,2438586907342;9,69576048915747;9,57832628830332;9,71123903289869;9,4784640228447;9,67394327760895
200010_at;RPL11;11,9425172092635;12,1901457096329;10,4084498165164;12,2199654765193;11,1817375036622;12,0846597391315;11,6412129357362;12,0544960593872;11,8435013332761;12,0144206360409;11,9045915843076;11,9110784094902;11,725061822966;10,6791242129385;10,7021290153574
200011_s_at;ARF3;11,2691432024076;10,5712486801287;11,1754002899447;11,1552554858662;11,2636986078337;10,5914706546157;10,5260099853759;11,024524964993;10,8695543868166;10,5616481493174;11,0391175308002;11,5960607698884;11,6521506591777;11,4662454505196;11,6819577799727
200013_at;RPL24;12,037126103388;12,2684062237861;11,636940783951;12,1458696371935;11,8040340932089;11,9342942368646;12,3519667543917;11,8229198611474;12,5941902195571;12,2505996079252;12,0478954112168;11,5594330662364;12,0030823204252;11,6691688474668;11,127933969959
200014_s_at;HNRNPC;11,3754676833092;10,685788963823;11,6969388648109;11,4285451127105;10,9909787352378;11,1453675374613;11,3694023272708;11,4438696831152;11,5202374236997;11,3483940858016;11,2392822095823;11,6836259272036;11,4099322219465;11,6959734536926;11,2004044736968
200015_s_at;SEPTIN2;11,5986638229232;11,5937422314258;11,9041551758942;12,0484051509242;12,1221903511869;12,0147646694165;11,6636999538367;11,1812850745989;11,9117375059874;11,4210556813474;11,739384629643;12,1139130492204;11,9990440971056;12,2969879167482;11,9162081706436
200019_s_at;FAU;12,8424470485341;13,0953037265286;12,905626451622;13,1579234100433;12,5580345876833;12,9203850785933;12,4020590754521;12,8706188776032;13,0958083085928;13,3857863059037;13,1393021401666;13,0200394990783;12,7153076559535;12,9414576091116;12,2936591021303
200022_at;RPL18;12,3387416143344;12,0182081464027;11,6226053200903;12,1752038927831;11,3465502410836;12,0345366519537;12,1508734224373;12,4926127974826;12,8291678864506;12,7147679799894;12,039238428803;11,960259903042;12,1117329197547;11,8715505756627;11,2129061202411
200023_s_at;EIF3F;11,4277055337981;11,441643668301;11,2424477610088;11,4850356019279;10,514609564516;11,531077185343;10,8919862284507;11,0807286190028;12,2100557668289;11,4562415984415;11,3665844423353;10,8710952863799;11,6051841638958;11,3863216499423;10,9089835220083
200024_at;RPS5;12,4309014442507;12,2973558368069;11,8335797819753;12,2874367862447;11,2697494055781;11,9291194375658;11,8631163304949;11,5891200892328;12,5690171249502;12,7192862145645;12,0229794566582;11,8665422129477;11,9874294130425;11,9789182008763;11,8258602179972
200025_s_at;RPL27;12,8713952599713;12,8288022601013;12,0289289482878;12,6397730212335;12,2987768979726;13,0347590757556;12,5608436098552;12,8518692411222;13,4649698267756;13,0200102258443;12,6757558041571;12,7890863053867;12,9428187888317;12,8129215898983;12,4208939229807
200026_at;RPL34;12,4321429497578;13,0679411080054;12,0424842550596;12,397960538146;12,271837300251;12,5322195171416;12,3676156115858;12,5293770402613;13,2003919860503;12,6009202223509;12,4988507578616;12,5378811840673;12,6036148301288;12,6839026620483;12,3359975774464
200027_at;NARS;11,8443886100476;11,4090033569432;11,3821055954034;11,5957725153454;12,4075024207545;11,2831200307697;11,7610981983016;11,7785987697133;11,6953082630495;11,7669441994473;11,9772785626715;11,8471156202807;11,4643208659458;11,7189783347478;11,6170025494238
200028_s_at;STARD7;11,1566574720896;11,1062921643527;12,0066806653275;11,7041344371258;11,7574543811502;11,7681360212851;11,9878521565089;12,017614409473;11,9082715317413;11,7915091549753;11,5634422926938;12,2276911667081;11,3751558219716;11,4659311627865;11,9548504740317
200029_at;RPL19;12,0090421985157;13,5948897879966;13,7968826294533;11,6998567693703;11,0025205748187;12,0758442384695;11,12398451723;11,6973926283017;12,6489267701849;12,0828783893482;11,6912741780801;11,6554810014895;12,1655150247249;11,4805671878403;12,7436242433602
200032_s_at;RPL9;12,8282106889466;12,518119642522;12,3029726871605;12,6199597819638;12,6786205107231;12,8658184739832;12,6803720158598;12,6294319455002;13,3677259967233;12,6685371122097;12,6821997306209;12,8825620886382;12,9673385308433;12,9224607119821;12,2533550063339
200036_s_at;RPL10A;11,9113472296337;11,5703077686973;11,0462516728638;11,8985424319688;10,7773435815288;11,5619946593186;11,3320250851572;11,4224594082448;12,2987013561979;12,0503624895488;11,7037202330617;11,4624370026307;11,7061895829604;11,531596333817;10,7992907171539
200037_s_at;CBX3;11,298725266885;11,2080396547015;11,5090304448222;10,4680635821352;10,6139610796324;11,2836135656742;11,6150904182117;11,2620341763425;11,4277022222398;11,1389301916923;11,3294903039769;11,4801883733589;11,3647557808945;11,385438610672;11,6650548916111
200039_s_at;PSMB2;11,3881492391125;11,1670129071389;11,7149283138108;11,6722833859622;10,898783556969;11,2437392536058;10,6953985080672;11,9823338293655;10,7896038164428;11,8432997702243;11,2798263829235;10,6451706745036;10,4115905011918;10,7993631535576;11,2980496951539
200042_at;RTCB;10,4464360968574;10,1475948398643;9,91302639134021;10,0700324255005;10,7547993316816;10,4246587959935;10,2387894637065;10,6483294182008;10,4253093973741;10,0199776354386;10,3382633552843;10,0418608642541;10,2148663549281;10,0605030101567;9,79624722880175
200043_at;ERH;11,0986796963828;10,8891614444584;11,6993494665846;11,1338668032668;10,9013539921773;10,9083340970716;10,8509220658037;11,1734950163416;11,1348053595842;10,8052775994626;11,4285943440011;11,7452786373821;11,0098187378988;11,4890965023202;11,5158516796434
200047_s_at;YY1;10,853906512019;10,5232886736533;11,5687855872462;10,4303233576135;10,7457666913285;10,9407007431998;10,9740076776851;10,8375178525136;10,8428434392297;11,1527648432626;10,9774992656854;11,2084786752276;11,0750601617562;11,568495051553;10,9774992656854
200048_s_at;JTB;12,5116641675989;12,2970457638211;11,959828745416;12,2089596769479;12,2478886622833;11,7967517532014;12,6805470829661;12,5941386126028;12,5714194345184;12,3840968293419;12,0985105030516;11,6399680210925;12,770371963194;12,1021410803002;12,1462146014634
200049_at;KAT7;8,47561499843419;9,8328286755955;9,79250949758386;8,14763659597904;9,18476655276316;8,36622538266427;8,56019993764491;8,58800935852967;8,97581311385247;8,54202985280007;8,41432877977568;9,00939063509423;8,69929773612309;8,89711357026498;9,18145890608179
200050_at;ZNF146;9,91447572396398;9,71653440390277;10,4446981670758;9,11870569737705;9,40812792795228;9,58186781800572;10,0411870724252;10,513941013176;10,2865639231654;10,2064784360183;9,68127077015832;9,77696859004937;9,91205683715223;9,87531757149;10,0258874781993
200051_at;SART1;7,64287514552517;8,06607941384326;8,00981831431299;8,28079219477114;7,69579712648018;8,10255013320382;7,97714577670604;7,75116041139981;8,14729132597956;8,36629703824478;8,11968946774716;8,01702575209849;7,92401116828029;7,5427686426692;7,36647746984668
200052_s_at;ILF2;10,5242842009475;10,3164276704055;10,7212881480362;9,96928059549621;10,271144779249;10,681253515048;11,4253315160635;11,6782093767473;11,4438199887398;10,6517997997646;10,0904624500877;10,4917390148906;10,7296299373209;10,2750136025438;10,2998129850903
200054_at;ZPR1;8,31249165532005;8,16758400701773;8,85898274138919;9,37918219124848;7,91021516038749;8,30240048627387;8,00754636961586;8,46812334331196;8,41654370238647;9,40084874209738;8,44094491975403;7,72445399401203;7,84369069783077;7,64823051230134;8,07490021075242
200055_at;TAF10;11,1350663272286;11,2464561470133;10,7519583884292;11,2545484257722;10,5074402267595;10,3664177097665;9,46380141229539;10,3232191297333;10,613821699799;10,5845885524218;10,802538553199;10,0167812352799;10,7495185385122;10,6717476825761;10,3006055554548
200056_s_at;C1D;7,35365963325338;6,2607595881241;8,29916021021887;6,86765330677025;7,86769232011261;7,18633509295701;8,61197383129939;7,58043420686214;7,98188926563829;7,6966210769346;7,1313396107061;7,9455827733659;7,63719994599776;7,85014743185494;7,21269016793345
200061_s_at;RPS24;12,3134900117074;12,671137082551;11,7987274419326;12,424280220371;12,492636630743;12,3545579646183;12,7073184547355;12,4224026350813;12,7184199784598;12,6775157935097;12,464923094188;12,4039206423475;12,5341633355358;12,1590456642855;12,0015443381645
200066_at;IK;10,6765428941954;10,3838409327264;10,2318928004967;11,0661151417996;9,76449592974864;10,656910078095;11,2860535604211;10,5665166033005;10,7949780342579;10,941463503569;10,8035504565174;10,6936564094417;11,2158880618741;10,630707646341;9,48471693217627
200067_x_at;SNX3;11,255634529759;10,5054165624845;11,3061946518532;10,8632494103646;10,7869190906819;11,5032215043864;11,3799628982868;10,9267065900182;11,0580689182603;11,0224222485782;10,6454313765075;11,1209683577432;10,5741317395835;10,8262969320102;10,8329439659181
200069_at;SART3;8,60779148727325;8,37999625736022;9,25524273926108;8,3305433761028;8,04397712655527;8,65014497184527;8,76186679524724;8,85694710846913;9,9626002158449;8,95876741769615;8,81505516423783;9,56743667499636;9,22163853730824;8,97198700466428;8,77058916128695
200071_at;SMNDC1;9,18669776375175;8,63814883181532;9,20351042602876;8,30416070267784;8,88390804257457;9,54422928458474;9,89233340421157;9,62338494871537;10,2437647854167;9,95428022949085;9,45864054516536;9,5559543416421;9,32120379053208;9,94638948875405;9,0167922581128
200073_s_at;HNRNPD;10,7361076355679;10,8414020977897;11,1115657522096;10,2557218097132;9,93510027299981;11,1021741064985;11,2449628951894;11,0781933823495;11,2085667110998;10,8870880240591;11,1869197399213;11,2115602510841;10,976350675656;10,8495496902274;10,9434139863667
200074_s_at;RPL14;11,7057222952042;11,3147818797067;10,9890028647984;11,8824011618796;10,5194885113532;12,0486846384853;12,1198232569049;11,8005724315218;12,8897411058216;12,0553088297834;12,0397711748964;11,8082683237768;11,9526045447755;11,3004059911343;11,4140185670752
